country,gdp,population,gdp_capita
Argentina,584711485367.27,43417765.00,16603.76
Australia,1345383143356.35,23789338.00,67797.18
Austria,382065930307.98,8633169.00,36117.41
Azerbaijan,53074370486.04,9649341.00,2195.31
Bahrain,31125851063.83,1371855.00,8436.02
Belarus,56454734396.58,9489616.00,208.51
Belgium,455200045095.64,11274196.00,34028.56
Bolivia (Plurinational State of),33000198263.39,10724705.00,3968.37
Bosnia and Herzegovina,16209702863.62,3535961.00,7664.22
Brazil,1803652649613.75,205962108.00,8823.19
Bulgaria,50199117547.04,7177991.00,11246.00
Burkina Faso,10419303761.35,18110624.00,241680.91
Cambodia,18049954289.42,15517635.00,2771638.42
Chile,242517905161.66,17762681.00,8088545.35
China,11064666282625.50,1371220000.00,50251.02
Colombia,291519596338.69,48228697.00,11015474.87
Costa Rica,54840103850.27,4807852.00,5396583.08
Croatia,48921877447.76,4203604.00,76619.87
Cuba,87132800000.00,11461432.00,4755.09
Cyprus,19676167239.66,1160985.00,18479.96
Czech Republic,186829940545.76,10546059.00,408353.11
Denmark,301298464861.39,5683483.00,337263.08
Dominican Republic,68102618092.10,10528394.00,199884.64
Egypt,332698041030.81,93778172.00,19601.58
Estonia,22566956982.23,1315407.00,13389.94
Finland,232439324529.65,5479531.00,34042.51
France,2433562015516.21,66624068.00,31477.60
Georgia,13993546732.47,3717100.00,2890.15
Germany,3375611100742.22,81686611.00,34288.52
Greece,195541761243.14,10820883.00,17100.84
Hungary,122879042001.92,9843028.00,3042064.09
Iceland,16783714958.45,330815.00,5601127.24
Iran (Islamic Republic of),385874474398.59,79360487.00,76852336.43
Ireland,290617006703.97,4676835.00,51366.35
Israel,299096404728.83,8380100.00,123362.00
Italy,1832347450961.51,60730582.00,25659.51
Japan,4383076298081.86,127141000.00,4132912.52
Kazakhstan,184388432148.72,17544126.00,736071.01
Lao People's Democratic Republic,14390391264.26,6663967.00,15271316.66
Latvia,27009231911.44,1977527.00,10792.65
Lebanon,49459296463.28,5851479.00,10838372.81
Lithuania,41402022148.21,2904910.00,11583.78
Luxembourg,57784495265.44,569604.00,81279.54
Malaysia,296434003328.64,30723155.00,34610.87
Malta,10285547954.08,431874.00,19261.16
Mexico,1152263780657.86,125890949.00,112311.21
Montenegro,4052913385.83,622159.00,2590.69
Morocco,101187079462.94,34803322.00,25558.59
Netherlands,757999453314.27,16939923.00,38817.23
New Zealand,175562976175.29,4595700.00,50665.88
Norway,386663139402.71,5188607.00,544603.89
Philippines,292774099013.69,101716359.00,74719.30
Poland,477279647754.70,37986412.00,44150.31
Portugal,199420256049.69,10358076.00,16623.70
Qatar,164641483516.48,2481539.00,313861.68
Republic of Korea,1382764027113.82,51014947.00,28752128.27
Republic of Moldova,6512899540.35,3554108.00,9001.54
Romania,177911101680.11,19815481.00,19100.77
Russian Federation,1365864126832.81,144096870.00,425253.58
Senegal,13640668374.17,14976994.00,396983.48
Serbia,37160332465.16,7095383.00,440209.26
Singapore,296840704102.42,5535002.00,71235.49
Slovakia,87501423882.47,5423801.00,14103.44
Slovenia,43072415017.43,2063531.00,17918.10
South Africa,317610719411.48,55011976.68,55399.41
Spain,1197789902774.43,46447697.00,23053.37
Sweden,497918109302.40,9799186.00,399261.22
Switzerland,679289166858.24,8282396.00,79753.56
Macedonia,10051659161.17,2079308.00,203525.40
Turkey,859794177118.10,78271472.00,19518.29
Ukraine,91030959454.70,45154029.00,22448.90
United Kingdom of Great Britain and Northern Ireland,2885570309160.86,65128861.00,26881.84
United States of America,18120714000000.00,320896618.00,51956.58
